,Judul Berita,Isi Berita
0,Model Panas Ini Ungkap Ajakan Mesum Neymar 😮,"Mantan pemain bola voli dan model OnlyFans, Key Alves mengklaim pemain internasional Brasil Neymar pernah mengajaknya berbuat seks dengan saudara kembarnya."
1,"Kvaratskhelia CINTA Madrid, Mungkinkah Napoli Melepasnya?","Khvicha Kvaratskhelia memiliki kecintaan pada Real Madrid, namun Napoli meminta sang pemain untuk tidak tergesa-gesa dalam memburu transfernya, menurut agennya."
2,"Bertahan Di PSG, Balik Ke Barcelona Atau Pulang Kampung Ke Argentina: Ke Mana Karier Messi Berikutnya?",APA YANG TERJADI?   Pemenang Ballon d'Or tujuh kali itu meninggalkan tanah kelahirannya saat bergabung dengan Barcelona pada tahun 2000. Dia telah menghabiskan lima tahun di tim muda Newell's sebelum menuju ke Catalan dan tidak pernah menghindar dari kenyataan bahwa dia ingin bermain untuk tim kampung halamannya di Rosario pada tahap tertentu di level senior.
3,"Martinez Diincar United,  Emery: Dia Bakal Bertahan Di Villa!","APA YANG TERJADI?   Emiliano Martinez tengah menjadi perbincangan hangat, selain berhasil memenangkan Piala Dunia 2022 bersama Argentina akhir tahun lalu, baru-baru ini dia merengkuh penghargaan Penjaga Gawang Terbaik dalam acara The Best FIFA Football Award 2022. Atas pencapaiannya tersebut, tak heran dia kalau dia sangat diminati oleh tim-tim besar Eropa, salah satunya Manchester United - yang dikabarkan memang menginginkan kiper baru yang sesuai dengan karakter Erik ten Hag. Namun, bos Aston Villa Unai Emery mengaku tak real kalau sang kiper pergi dalam waktu dekat."
4,"Soal Eks Striker United, Pelatih JDT: Semua Tergantung Bos!","APA YANG TERJADI? Pelatih Johor Darul Takzim (JDT) Esteban Solari mengakui klub tajir Malaysia tersebut tidak menutup kemungkinan akan mendatangkan mantan ujung tombak Manchester United Radamel Falcao untuk menambah daya gedor tim. Peluang JDT mendapatkan Falcao cukup terbuka, mengingat Harimau Selatan saat ini baru mempunyai delapan pemain asing, atau masih kurang satu dari batas yang diberikan operator kompetisi Malaysia Super League (MSL)."
5,"Roy Keane Lempar Kritik Menohok Buat Antony, Apa Lagi Nih?","APA YANG TERJADI?   Sejak bergabung dengan Manchester United dari Ajax pada musim panas tahun lalu, Antony berjuang dengan cedera ringan yang kerap kali membuatnya absen. Dia melewatkan tiga pertandingan terakhir United di Liga Primer karena cedera, dan leg pertama babak play-off Liga Europa melawan Barcelona sebelum masuk dari bangku cadangan di leg kedua yang digelar di Old Trafford. Pemain internasional Brasil itu kemudian menjadi starter dalam kemenangan di final Piala Liga atas Newcastle dan kembali bermain saat menundukkan West Ham 3-1 di putaran kelima Piala FA. Mantan kapten Setan Merah Keane percaya bahwa Antony perlu menyesuaikan gaya bermainnya untuk menghindari cedera lainnya, dan mengurangi trik-trik, yang membuatnya menjadi target dari pemain lawan."
6,"Jelang El Clasico, Ancelotti: Kontes Vini Jr Vs Araujo Akan Menghibur","APA YANG TERJADI?   Juara bertahan La Liga Real Madrid akan menghadapi Barcelona pada leg pertama semi-final Copa del Rey di Santiago Bernabeu, Jumat (3/3) dini hari WIB. Manajer Los Blancos Carlo Ancelotti mengaku timnya telah mempersiapkan diri dengan baik dan menegaskan kalau salah satu pemain andalannya, Vinicius Junior akan menjadi kunci permainan timnya. Tetapi, Don Carlo juga mengakui winger asal Brasil tersebut akan menghadapi lawan berat, yakni Ronald Araujo, yang dinilainya sebagai bek yang sangat kuat."
7,Debut Pelatih Persita Perpanjang Derita PSS,APA YANG TERJADI?
8,"""Jangan Cuma Meledak Dari Bangku Cadangan"" - Ten Hag Pompa Semangat Garnacho","APA YANG TERJADI?   Setan Merah tertinggal 1-0 di pertandingan putaran kelima Piala FA setelah Said Benrahma membuka skor di Old Trafford. Gol bunuh diri dari Nayef Aguerd membantu United menyamakan kedudukan sebelum Garnacho dan Fred mencetak gol di menit akhir pertandingan untuk membawa tim asuhan Ten Hag lolos ke delapan besar. Sang manajer sangat senang dengan penampilan Garnacho, yang diberi 'kata-kata semangat' sebelum pertandingan."
9,"Jamu Man United, Liverpool Andalkan 'The Power Of Anfield'","Performa apik yang diperlihatkan Manchester United membuat manajer Liverpool Jurgen Klopp waswas menjelang duel kedua tim, Minggu (5/3) malam WIB, di Stadion Anfield dalam lanjutan Liga Primer Inggris 2022/23."
10,Madrid Bidik Silva Sebagai Alternatif Transfer Gvardiol,"APA YANG TERJADI? Antonio Silva, berusia 19, memiliki pengalaman tim utama yang lebih sedikit daripada Josko Gvardiol, 21, karena bek yang terakhir tampil luar biasa di panggung Piala Dunia di Qatar dan menjadi pemain reguler Bundesliga selama dua musim. Namun, Antonio pada akhirnya bisa lebih murah dan Real Madrid bersedia membidiknya jika mereka tidak mendaratkan Gvardiol, demikian menurut Record."
11,Elkan Baggott Makin Terpinggirkan Di Cheltenham Town,"Manajer Cheltenham Town Wade Elliott memastikan Elkan Baggott tidak akan tampil saat menjamu Fleetwood Town di Stadion The Completely-Suzuki, Sabtu (4/3) malam WIB, dalam lanjutan League One Inggris."
12,Madrid Vs Barca: Live Streaming & Kabar Terkini,Lompat Ke:
13,Mbappe Dukung Penggalangan Dana Gempa Turki ❤️,"APA YANG TERJADI? Gempa bumi di Turki dan Suriah bulan lalu menewaskan lebih dari 45.000 orang, dan Kylian Mbappe berjanji untuk mendukung mereka yang membutuhkan di tengah krisis kemanusiaan. Penampilannya yang mengejutkan di acara penggalangan dana dimaksudkan untuk menarik perhatian akan pentingnya mengumpulkan uang bagi para korban."
14,Mane Yakin Klopp Bisa Ubah Nasib Liverpool💪,"APA YANG TERJADI? Pemain asal Senegal itu bergabung dengan raksasa Jerman pada musim panas dan, ketika Bayern Munich tetap berada di puncak Bundesliga, Liverpool mendekam di urutan keenam, terpaut enam poin dari papan Liga Champions. Awal mimpi buruk memicu pembicaraan tentang potensi pemecatan Jurgen Klopp, tapi Sadio Mane merasa mantan bosnya adalah orang yang tepat untuk tugas tersebut."
15,"Hadapi Timnas U-20, Suriah Siapkan Skema Permainan Cepat","Pelatih Suriah Mark Wotte menegaskan, tim besutannya tidak akan mengubah gaya permainan cepat saat menghadapi timnas Indonesia U-20 pada matchday kedua Grup A Piala Asia U-20 2023 di Stadion Lokomotiv, Sabtu (4/3) malam WIB."
16,Ultimatum Aneh Xavi Jelang Madrid Vs Barca - Psywar Dimulai?,APA YANG TERJADI? 
17,Tae-Yong Tak Ingin Semangat Pemain Timnas U-20 Menurun,"APA YANG TERJADI? Pelatih timnas Indonesia U-20 Shin Tae-yong tidak menginginkan semangat anak asuhnya menurun selepas dikalahkan Irak pada laga perdana Grup A Piala Asia U-20 2023 kemarin malam. Kekalahan itu merupakan pukulan telak, karena didapat saat mereka unggul jumlah pemain. Irak harus tampil dengan sepuluh orang setelah Charbel Shamoon diganjar kartu merah menjelang babak pertama berakhir. Skuad Garuda Nusantara selanjutnya akan menghadapi Suriah U-20 di Stadion Lokomotiv, Sabtu (4/3) malam WIB."
18,Legenda MU Sentil Arsenal: Kalian Tak Akan Juara Liga!,APA YANG TERJADI?
19,Undian Perempat-final: Duo Manchester Belum Jumpa,"APA YANG TERJADI? Tim-tim Manchester dipisahkan - melalui basis fans masing-masing mungkin senang bahwa pertandingan yang potensi sulit ditunda hingga nanti di turnamen. Manchester City mungkin memiliki alur cerita yang paling menarik di babak ini karena bek Vincent Kompany, yang sekarang menangani Burnley, akan kembali ke Etihad Stadium. Sementara itu, Brighton akan menjadi tuan rumah ketika menjamu tim League Two, Grimsby Town, dan Sheffield United akan menjamu Blackburn dalam pertandingan All-Championship."
20,Menggila Bareng Zinny! Di Mana Sebenarnya Posisi Bermainmu? ,"APA YANG TERJADI? Oleksandr Zinchenko memang mengenakan nomor punggung 35 di Arsenal. Meski begitu, buat kalian yang selalu menyimak Arsenal tanding, bakal menyadari jika Zinny bermain hampir di seluruh area lapangan! Dia bisa memainkan peran sebagai No.6, terkadang menjadi No.8, bahkan bisa memegang kendali bola sebagai No.10! Jangan heran, bila saat kick-off Zinny berada di sisi kiri pertahanan Arsenal, tapi ketika tim menyerang, dia tiba-tiba bisa berada garis tengah lapangan, tahu-tahu muncul di depan kotak penalti, masuk ke area sepakan 12 pas, bahkan menyisir sampai ke sisi kanan Arsenal baik saat menyerang dan bertahan. Sungguh pergerakan yang gila dari seorang pemain!"
21,"Arsenal Seperti Leicester, Juara EPL Jalur Kebetulan?","Arsenal seperti Leicester City dan tidak akan bisa mempertahankan gelar Liga Primer Inggris musim depan jika The Gunners memenangkannya Mei nanti, menurut Glen Johnson."
22,"Anggaran Seret, Ten Hag Bakal Obral TUJUH Bintang MU Ini!",Erik ten Hag dilaporkan siap melego tujuh bintang Manchester United demi menggalang dana mendapatkan gelandang tengah dan striker baru di musim panas.
23,Kursi Chelsea 1 Menanti Duo Zidane & Enrique,"APA YANG TERJADI? Luis Enrique dan Zinedine Zidane dilaporkan berada dalam situasi 'perebutan' kursi panas di Chelsea untuk menggantikan Graham Potter sebagai manajer. Keduanya mencuat sebagai nama-nama terakhir yang dikaitkan dengan kubu Stamford Bridge. Demikian menurut outlet Spanyol, Sport."
24,Pelatih Medioker Ini Ngaku-ngaku Didekati Man City,"APA YANG TERJADI? Pelatih asal Inggris Sam Allardyce mengklaim, dirinya didekati Manchester City dan mungkin saja berpeluang memiliki reputasi sebagai juru taktik kelas kakap andai hal itu terwujud. Big Sam, begitu sapaan akrabnya, menangani Bolton dari 1999 hingga 2007, memastikan klub kecil ini bertahan di kancah Liga Primer Inggris dalam beberapa tahun."
25,"Arsenal Siap Lepas 6 Pemain, Demi Boyong Rice & Osimhen","APA YANG TERJADI? Arsenal bersiap merombak skuad mereka di bursa transfer musim panas mendatang, dengan memboyong beberapa bintang potensial dan menjual sejumlah aset mereka. The Gunners memang saat ini berada di puncak klasemen Liga Primer Inggris dan difavoritkan keluar sebagai juara pada edisi 2022/23 setelah manajer Mikel Arteta berhasil mengeluarkan kemampuan terbaik dari para pemainnya."
26,Mengapa Traore Lumuri Tubuhnya Dengan Baby Oil?,"Berbadan besar, berotot dan atletis merupakan gambaran dari seorang Adama Traore, namun dia hanya seorang pesepakbola dan bukan binaragawan!"
27,"""Bikin Saya Horny!"" - Xavi Antusias Tandang Ke Bernabeu 😳",APA YANG TERJADI?
28,Berapa Banyak Gol Yang Dicetak Rashford Dalam Kariernya?,Bakat Marcus Rashford sudah terlihat sejak hari-hari awalnya di akademi Manchester United dan ia kini telah berkembang sangat pesat.
29,"Hajar Everton, Arsenal Unggul Lima Poin Di Puncak EPL",APA YANG TERJADI?
30,Liverpool Mulai Intip Empat Besar EPL,APA YANG TERJADI?
31,Dramatis! United Singkirkan West Ham Dari Piala FA,APA YANG TERJADI?
32,"Nekat! Masuk Kamar Wasit, Mourinho Kena Sanksi","Pelatih AS Roma, Jose Mourinho menerima sanksi larangan dua pertandingan karena memasuki ruang ganti wasit dan sikap berlebihannya kepada para pengadil lapangan."
33,"Messi Raih FIFA Best Award, Benzema Enggak Terima? 😬","Striker Real Madrid, Karim Benzema memposting serangkaian pesan di media sosial setelah melihat Lionel Messi memenangkan penghargaan Pemain Terbaik di FIFA Best Award 2022."
34,"Menang Dengan 10 Pemain, Pelatih Irak: Indonesia Bukan Tim Lemah","Pelatih Irak Emad Mohammed sepertinya ingin membesarkan hati penggawa timnas Indonesia U-20 setelah tim besutannya meraih kemenangan 2-0 dengan sepuluh pemain, Rabu (1/3) malam WIB, pada pertandingan perdana Grup A Piala Asia U-20 2023."
